experiment,dataset,target,mean_f1,std_f1,mean_accuracy,std_accuracy,mean_balanced_accuracy,std_balanced_accuracy,mean_auc,std_auc
MERGED_ER,merged_lesions,ER [SII],0.634,0.022,0.571,0.039,0.571,0.039,0.551,0.033
MERGED_medsam_ER,merged_lesions_medsam,ER [SII],0.658,0.033,0.594,0.047,0.594,0.047,0.620,0.037
MERGED_HER2,merged_lesions,HER2 [SII],0.442,0.065,0.494,0.069,0.494,0.069,0.521,0.090
MERGED_medsam_HER2,merged_lesions_medsam,HER2 [SII],0.452,0.034,0.526,0.046,0.526,0.046,0.497,0.067
MERGED_PR,merged_lesions,PR [SII],0.488,0.044,0.532,0.034,0.532,0.034,0.499,0.022
MERGED_medsam_PR,merged_lesions_medsam,PR [SII],0.502,0.076,0.538,0.041,0.538,0.041,0.513,0.042
