Dataset,Target,Accuracy,Balanced Accuracy,F1-score,ROC-AUC
DUKE,PR,0.481 ± 0.066,0.481 ± 0.063,0.460 ± 0.052,0.480 ± 0.102
DUKE,ER,0.571 ± 0.026,0.578 ± 0.033,0.589 ± 0.025,0.570 ± 0.050
