Dataset,Target,Accuracy,Balanced Accuracy,F1-score,ROC-AUC
DUKE,PR,0.512 ± 0.023,0.512 ± 0.023,0.515 ± 0.043,0.470 ± 0.020
DUKE,ER,0.529 ± 0.082,0.529 ± 0.082,0.528 ± 0.087,0.560 ± 0.065
