Feature,Importance
original_glszm_SmallAreaLowGrayLevelEmphasis,0.05242141
original_glcm_Imc1,0.040068638
original_glcm_MCC,0.038425334
original_firstorder_RootMeanSquared,0.037568253
original_glszm_LargeAreaHighGrayLevelEmphasis,0.03578318
original_glszm_SmallAreaHighGrayLevelEmphasis,0.03202422
original_ngtdm_Strength,0.030637266
original_glcm_SumEntropy,0.02886508
original_gldm_DependenceNonUniformityNormalized,0.02848534
original_shape_LeastAxisLength,0.024977414
original_glszm_GrayLevelVariance,0.024840498
original_glszm_HighGrayLevelZoneEmphasis,0.024436096
original_glrlm_RunEntropy,0.024335813
original_glszm_GrayLevelNonUniformity,0.024258723
original_gldm_SmallDependenceEmphasis,0.02386406
original_shape_Sphericity,0.023826625
original_shape_Flatness,0.023697056
original_glszm_ZonePercentage,0.0223229
original_gldm_DependenceVariance,0.020884182
original_glcm_ClusterShade,0.020324444
original_firstorder_Skewness,0.02024758
original_glrlm_RunPercentage,0.0195857
original_firstorder_TotalEnergy,0.019279122
original_ngtdm_Complexity,0.01804368
original_glcm_DifferenceVariance,0.017703721
original_shape_Maximum2DDiameterSlice,0.017690789
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.017598996
original_glcm_Idmn,0.01595184
original_glcm_Imc2,0.015900414
original_glszm_ZoneEntropy,0.015556147
original_glcm_Contrast,0.014483561
original_glrlm_LongRunEmphasis,0.013301671
original_shape_SurfaceArea,0.01266454
original_glrlm_RunVariance,0.012075052
original_glszm_SizeZoneNonUniformity,0.011729977
original_glcm_Id,0.011678202
original_firstorder_Range,0.011359422
original_shape_SurfaceVolumeRatio,0.0112902215
original_glrlm_LongRunHighGrayLevelEmphasis,0.011216231
original_firstorder_90Percentile,0.0111136725
original_gldm_LargeDependenceEmphasis,0.01108047
original_glcm_ClusterTendency,0.010991586
original_glrlm_GrayLevelVariance,0.010811588
original_glrlm_LongRunLowGrayLevelEmphasis,0.0105465455
original_firstorder_Maximum,0.009530596
original_shape_MajorAxisLength,0.009009245
original_shape_Elongation,0.008556204
original_ngtdm_Busyness,0.008458712
original_gldm_DependenceEntropy,0.008363097
original_glszm_SizeZoneNonUniformityNormalized,0.008122128
original_glcm_DifferenceAverage,0.007897291
original_glrlm_ShortRunEmphasis,0.0075729354
original_glszm_GrayLevelNonUniformityNormalized,0.00463455
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0039081546
original_glszm_LargeAreaEmphasis,0.0
original_firstorder_Entropy,0.0
original_firstorder_InterquartileRange,0.0
original_glcm_JointAverage,0.0
original_firstorder_Kurtosis,0.0
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0
original_glrlm_ShortRunHighGrayLevelEmphasis,0.0
original_firstorder_MeanAbsoluteDeviation,0.0
original_firstorder_Mean,0.0
original_firstorder_10Percentile,0.0
original_shape_VoxelVolume,0.0
original_glszm_LowGrayLevelZoneEmphasis,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glszm_SmallAreaEmphasis,0.0
original_shape_MinorAxisLength,0.0
original_shape_MeshVolume,0.0
original_shape_Maximum3DDiameter,0.0
original_shape_Maximum2DDiameterRow,0.0
original_glszm_ZoneVariance,0.0
original_ngtdm_Coarseness,0.0
original_shape_Maximum2DDiameterColumn,0.0
original_ngtdm_Contrast,0.0
original_glrlm_RunLengthNonUniformityNormalized,0.0
original_firstorder_Median,0.0
original_glcm_JointEnergy,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
original_glcm_JointEntropy,0.0
original_glcm_InverseVariance,0.0
original_glcm_MaximumProbability,0.0
original_glcm_Idn,0.0
original_glcm_Idm,0.0
original_glcm_SumSquares,0.0
original_gldm_DependenceNonUniformity,0.0
original_glcm_DifferenceEntropy,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_glcm_Correlation,0.0
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_gldm_LowGrayLevelEmphasis,0.0
original_glcm_ClusterProminence,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_glcm_Autocorrelation,0.0
original_glrlm_GrayLevelNonUniformity,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_firstorder_Variance,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_firstorder_Uniformity,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_firstorder_Minimum,0.0
original_glcm_SumAverage,0.0
