Feature,Importance
original_glszm_GrayLevelNonUniformity,0.057629775
original_firstorder_10Percentile,0.033524353
original_glszm_GrayLevelNonUniformityNormalized,0.032714516
original_shape_MinorAxisLength,0.032490157
original_shape_Sphericity,0.032128863
original_glszm_LowGrayLevelZoneEmphasis,0.029683916
original_glrlm_ShortRunHighGrayLevelEmphasis,0.029356144
original_glrlm_GrayLevelVariance,0.02510858
original_glszm_GrayLevelVariance,0.02206282
original_shape_Maximum2DDiameterColumn,0.021651434
original_firstorder_InterquartileRange,0.021525232
original_glcm_MCC,0.02132128
original_gldm_SmallDependenceEmphasis,0.020901302
original_glcm_MaximumProbability,0.020544577
original_firstorder_TotalEnergy,0.020370632
original_firstorder_Minimum,0.020013886
original_glszm_HighGrayLevelZoneEmphasis,0.019826915
original_glcm_Autocorrelation,0.019349152
original_glszm_SmallAreaLowGrayLevelEmphasis,0.019253822
original_glcm_Contrast,0.01886653
original_shape_LeastAxisLength,0.018807966
original_firstorder_Kurtosis,0.0183053
original_glszm_SmallAreaHighGrayLevelEmphasis,0.018137196
original_shape_Maximum2DDiameterRow,0.018117225
original_glcm_DifferenceVariance,0.018065017
original_glcm_ClusterProminence,0.017638696
original_firstorder_Skewness,0.017414052
original_glrlm_GrayLevelNonUniformity,0.017169172
original_shape_SurfaceVolumeRatio,0.017054267
original_glszm_SizeZoneNonUniformity,0.015611608
original_glrlm_LongRunHighGrayLevelEmphasis,0.015513443
original_glszm_SmallAreaEmphasis,0.015173349
original_shape_Maximum3DDiameter,0.015126696
original_ngtdm_Complexity,0.014758434
original_shape_Maximum2DDiameterSlice,0.014199001
original_glrlm_RunEntropy,0.013418142
original_glrlm_RunVariance,0.0133831985
original_glcm_Imc2,0.013311088
original_glcm_Imc1,0.013031166
original_glcm_ClusterShade,0.012797632
original_shape_Elongation,0.011349772
original_glszm_SizeZoneNonUniformityNormalized,0.01111808
original_firstorder_Range,0.011093309
original_glrlm_LongRunLowGrayLevelEmphasis,0.010868148
original_gldm_SmallDependenceLowGrayLevelEmphasis,0.010599835
original_glcm_Correlation,0.0092433635
original_glrlm_RunLengthNonUniformityNormalized,0.008802037
original_gldm_LargeDependenceLowGrayLevelEmphasis,0.008706523
original_firstorder_Entropy,0.008382298
original_firstorder_Maximum,0.0080510015
original_ngtdm_Coarseness,0.00785362
original_glcm_DifferenceAverage,0.007822037
original_ngtdm_Strength,0.007724013
original_glcm_Id,0.0074241743
original_glcm_JointEntropy,0.006358248
original_glcm_SumEntropy,0.005731565
original_glszm_LargeAreaLowGrayLevelEmphasis,0.0055981674
original_firstorder_Mean,0.0054677106
original_firstorder_90Percentile,0.004773721
original_gldm_LowGrayLevelEmphasis,0.004090689
original_firstorder_RootMeanSquared,0.0035851735
original_glszm_ZoneVariance,0.0
original_shape_MajorAxisLength,0.0
original_ngtdm_Contrast,0.0
original_glrlm_ShortRunLowGrayLevelEmphasis,0.0
original_firstorder_Variance,0.0
original_firstorder_Uniformity,0.0
original_firstorder_RobustMeanAbsoluteDeviation,0.0
original_glszm_LargeAreaEmphasis,0.0
original_glszm_LargeAreaHighGrayLevelEmphasis,0.0
original_firstorder_Median,0.0
original_glszm_ZonePercentage,0.0
original_shape_MeshVolume,0.0
original_firstorder_MeanAbsoluteDeviation,0.0
original_glrlm_ShortRunEmphasis,0.0
original_ngtdm_Busyness,0.0
original_shape_VoxelVolume,0.0
original_shape_SurfaceArea,0.0
original_glszm_ZoneEntropy,0.0
original_glcm_ClusterTendency,0.0
original_glrlm_RunPercentage,0.0
original_glcm_DifferenceEntropy,0.0
original_glcm_SumSquares,0.0
original_gldm_DependenceEntropy,0.0
original_gldm_DependenceNonUniformity,0.0
original_gldm_DependenceNonUniformityNormalized,0.0
original_gldm_DependenceVariance,0.0
original_gldm_GrayLevelVariance,0.0
original_gldm_HighGrayLevelEmphasis,0.0
original_gldm_LargeDependenceEmphasis,0.0
original_gldm_LargeDependenceHighGrayLevelEmphasis,0.0
original_shape_Flatness,0.0
original_gldm_SmallDependenceHighGrayLevelEmphasis,0.0
original_glcm_JointEnergy,0.0
original_glcm_JointAverage,0.0
original_glrlm_GrayLevelNonUniformityNormalized,0.0
original_glcm_InverseVariance,0.0
original_glrlm_HighGrayLevelRunEmphasis,0.0
original_glrlm_LongRunEmphasis,0.0
original_glcm_Idn,0.0
original_glcm_Idmn,0.0
original_glrlm_LowGrayLevelRunEmphasis,0.0
original_glcm_Idm,0.0
original_glrlm_RunLengthNonUniformity,0.0
original_glcm_SumAverage,0.0
