Dataset,Target,Accuracy,Balanced Accuracy,F1-score,ROC-AUC
AMBL,PR [SII],0.533 ± 0.024,0.533 ± 0.024,0.518 ± 0.103,0.543 ± 0.029
AMBL,ER [SII],0.500 ± 0.000,0.500 ± 0.000,0.222 ± 0.314,0.500 ± 0.000
