feature,importance_mean,importance_std
original_glrlm_RunEntropy,7.395225715637207,1.283583266835721
original_glcm_MCC,6.122788715362549,0.2501151470725783
original_glcm_Correlation,6.107699966430664,1.178775581844497
original_gldm_DependenceEntropy,5.97085542678833,0.846463026060322
original_glcm_ClusterTendency,5.957767105102539,3.1873225178688434
original_glszm_SizeZoneNonUniformity,5.945998859405518,1.4586483448216434
original_shape_Elongation,5.942710113525391,0.7377203978102173
original_shape_Flatness,5.805309772491455,0.6587156041692326
original_glcm_Imc2,5.752348756790161,0.9781094981005083
original_shape_SurfaceVolumeRatio,5.574668121337891,0.6479933568199442
original_glcm_Imc1,5.55119571685791,0.5197152940485064
original_glcm_ClusterShade,5.392648792266845,1.3766756119606207
original_firstorder_Minimum,5.38996114730835,1.1022960161747444
original_glszm_ZoneEntropy,5.1541985988616945,1.4627548801410153
original_firstorder_TotalEnergy,5.001890182495117,1.0135696060994945
original_glcm_Idmn,4.937255382537842,0.4980989938517981
original_glszm_GrayLevelNonUniformityNormalized,4.85241470336914,2.740353412562534
original_ngtdm_Strength,4.844130420684815,0.8513247661448576
original_firstorder_Skewness,4.654786396026611,0.4461808930470919
original_glrlm_GrayLevelNonUniformity,4.547140598297119,2.4092417331782863
