feature,importance_mean,importance_std
original_glszm_LargeAreaHighGrayLevelEmphasis,5.971928071975708,3.624178519904317
KI67 %,4.196248292922974,0.5444098368394801
original_glszm_GrayLevelVariance,4.080557060241699,0.7465144918676868
original_gldm_SmallDependenceLowGrayLevelEmphasis,3.9717970848083497,1.4594784136701155
original_gldm_SmallDependenceHighGrayLevelEmphasis,3.766587257385254,1.0916942730234795
original_glrlm_ShortRunLowGrayLevelEmphasis,3.7308842182159423,2.5757642220044654
original_firstorder_10Percentile,3.39226176738739,2.4084902643814825
median_derivative_phase_3,3.201951575279236,1.0008746050634392
original_glrlm_RunPercentage,3.097386026382446,3.3530866639146715
original_glcm_MCC,3.037802791595459,0.8273707002037732
original_glszm_HighGrayLevelZoneEmphasis,3.0124071836471558,0.6593789569635523
original_shape_SurfaceVolumeRatio,2.9892742156982424,1.900987931876334
original_firstorder_Maximum,2.795030927658081,2.3733826909324045
mean_derivative_phase_3,2.7221177577972413,0.3413955180770958
original_glszm_GrayLevelNonUniformityNormalized,2.702621841430664,2.0304989583544106
original_glszm_ZonePercentage,2.5969661712646483,0.5536788284241085
std_derivative_phase_3,2.5741299390792847,0.8533242643449472
original_gldm_LowGrayLevelEmphasis,2.495578408241272,1.5077559844653616
original_glcm_ClusterProminence,2.4878259658813477,1.0502477356866275
original_firstorder_Minimum,2.3887088775634764,0.6330242739084402
