feature,importance_mean,importance_std
original_glrlm_LongRunLowGrayLevelEmphasis,3.2704505443573,0.9189306073550159
original_glszm_SmallAreaLowGrayLevelEmphasis,3.014612150192261,1.611678637637204
original_glrlm_RunLengthNonUniformityNormalized,2.917335557937622,1.6713790158555488
original_glszm_HighGrayLevelZoneEmphasis,2.9150647163391112,2.0689262267852255
original_glcm_JointEnergy,2.8649267196655273,2.8033777773049984
original_shape_Sphericity,2.851143407821655,0.4809974934893924
original_glrlm_GrayLevelNonUniformity,2.8187340259552003,2.712057292109486
original_firstorder_Maximum,2.8017659187316895,1.28348358447422
original_firstorder_Range,2.7426899433135987,0.8079909002846888
original_glszm_LowGrayLevelZoneEmphasis,2.731339120864868,2.3141383279320817
original_glcm_ClusterShade,2.692338228225708,0.5657403693140196
original_shape_Maximum2DDiameterRow,2.6913463830947877,0.8566981298163704
original_glszm_GrayLevelNonUniformityNormalized,2.6428242206573485,1.9589006015850663
original_glrlm_ShortRunHighGrayLevelEmphasis,2.5939995288848876,2.176779955040524
original_firstorder_Skewness,2.4977354049682616,1.54865700179372
original_firstorder_Kurtosis,2.435338759422302,1.7175425775710116
original_firstorder_90Percentile,2.414802074432373,1.6830943143751005
original_glszm_ZoneVariance,2.3877097606658935,1.9725349247816113
original_glszm_GrayLevelVariance,2.358298420906067,1.5062334617287403
original_ngtdm_Complexity,2.3510005474090576,0.6789139454988224
