feature,importance_mean,importance_std
KI67 %,5.020653915405274,0.3083154330630438
median_derivative_phase_3,3.084741497039795,0.3760575623454051
mean_derivative_phase_3,2.513692855834961,0.5769187401734677
mean_derivative_phase_2,2.417165207862854,0.5032564499442161
max_derivative_phase_3,2.290156030654907,0.4275070302653958
median_derivative_phase_2,2.264798378944397,0.7612491421842108
std_derivative_phase_3,2.240334939956665,0.5489334157996639
std_derivative_phase_4,2.111979913711548,0.5299098757789618
max_derivative_phase_5,2.0634340763092043,0.4751363468655542
max_derivative_phase_4,2.045363187789917,0.3659817252147438
mean_derivative_phase_5,1.77015221118927,0.5182720598193561
std_derivative_phase_5,1.714636206626892,0.3024081499105918
max_derivative_phase_2,1.6915364503860473,0.14603561399349396
std_derivative_phase_2,1.6595006704330444,0.23883541164962802
median_derivative_phase_5,1.6486685514450072,0.2634467057632647
median_derivative_phase_4,1.4557669281959533,0.4372147470374641
mean_derivative_phase_4,0.9117370963096618,0.9119177547422472
isTN,0.0,0.0
