feature,importance_mean,importance_std
original_gldm_DependenceVariance,7.362832355499267,1.8813720139500136
original_shape_SurfaceVolumeRatio,7.133825397491455,0.9025903476731676
original_gldm_DependenceEntropy,5.861572170257569,0.31514673797558246
original_firstorder_Skewness,5.846683597564697,1.408602760907715
original_shape_LeastAxisLength,5.646367454528809,0.7030729853906343
original_glszm_SmallAreaHighGrayLevelEmphasis,5.626031398773193,3.0802944829790837
original_firstorder_TotalEnergy,5.458080196380616,0.9498596303895007
original_gldm_SmallDependenceLowGrayLevelEmphasis,5.439713811874389,1.247420556375158
original_firstorder_Kurtosis,5.396509170532227,0.41799279455115973
original_shape_Sphericity,5.3635069847106935,0.5157274516202515
original_glcm_Correlation,5.30431227684021,1.2473840299146288
original_shape_Elongation,5.29770336151123,0.8292213675049274
original_glcm_ClusterShade,5.214280319213867,0.6171195467693883
original_glcm_MCC,5.183927536010742,0.9710751270331531
original_ngtdm_Coarseness,5.083209896087647,0.36509568630583766
original_gldm_LargeDependenceHighGrayLevelEmphasis,5.01430606842041,2.6766441085020873
original_gldm_DependenceNonUniformityNormalized,4.922893428802491,2.703862035807068
original_glszm_LargeAreaHighGrayLevelEmphasis,4.709727573394775,2.690793115288555
original_glszm_GrayLevelNonUniformity,4.659413766860962,0.9058187644392581
original_ngtdm_Busyness,4.593245029449463,4.035156483707549
